id,career_id,nombre,creditos
252,4,INGLES 5,5
253,4,ADMINISTRACION DE SISTEMAS,8
254,4,GRAFICACION POR COMPUTADORA B,10
255,4,PROGRAMACION DE SISTEMAS,12
256,4,BASES DE DATOS A,10
257,4,ADMINISTRACION INFORMATICA A,8
258,4,ARTE- CULTURA Y HUMANIDADES II,2
259,4,FUNDAMENTOS DE DESARROLLO WEB,8
260,4,FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL,8
261,4,COMPUTACION UBICUA,8
262,4,ADMINISTRACION DE BASES DE DATOS,8
263,4,PROYECTO INTEGRADOR,10
264,4,REDES A,12
265,4,INTERFACES DE COMUNICACIONES,8
266,4,LIDERAZGO Y EMPRENDIMIENTO,3
267,4,PRACTICAS PROFESIONALES I,15
268,4,SUPERCOMPUTO,8
269,4,VISION COMPUTACIONAL,8
270,4,TECNOLOGIA INFORMATICA,6
271,4,TELEMATICA A,8
272,4,REDES B,10
273,4,SEMINARIO I.C.,1
274,4,ACTIVIDADES ARTISTICAS- DEPORTIVAS O DE DIVULGACION,2
275,4,SEMINARIO DE EGRESO,0
276,5,DISEÑO ASISTIDO POR COMPUTADORA,3
277,5,QUIMICA A,8
278,5,ALGEBRA A,8
279,5,GEOMETRIA DESCRIPTIVA,5
280,5,CALCULO A,8
281,5,FISICA A,8
282,5,GEOMETRIA Y TRIGONOMETRIA,0
283,5,METODOLOGIA DE LA INVESTIGACION,4
284,5,SEMINARIO DE ORIENTACION IEA,1
285,5,MATERIALES PARA INGENIERIA,9
286,5,ELECTRICIDAD Y MAGNETISMO A,9
287,5,CALCULO C,6
288,5,CALCULO B,8
289,5,ESTATICA,8
290,5,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
291,5,INGLES 1,0
292,5,ALGEBRA B,8
293,5,ELECTRICIDAD Y MAGNETISMO B,9
294,5,CALCULO D,8
295,5,SISTEMAS DE ALUMBRADO,6
296,5,MECANICA DE MATERIALES I,11
297,5,INGLES 2,0
298,5,MODELADO Y SIMULACION,8
299,5,INTRODUCCIÓN A LA PROGRAMACIÓN,8
300,5,CIRCUITOS ELECTRICOS A,12
301,5,PROBABILIDAD E INFERENCIA ESTADISTICA,10
302,5,DINAMICA,8
303,5,INGLES 3,0
304,5,INSTRUMENTACION INDUSTRIAL,7
305,5,DISEÑO DE SISTEMAS DIGITALES,7
306,5,ELECTRONICA I,12
307,5,CIRCUITOS ELECTRICOS B,10
308,5,TERMODINAMICA,11
309,5,INGLES 4,0
310,5,INGENIERIA DE CONTROL I,8
311,5,ELECTRONICA II,8
312,5,MAQUINAS ELECTRICAS I,12
313,5,DIAGRAMAS ELECTRICOS,3
314,5,TECNOLOGIA DE PLANTAS GENERADORAS,8
315,5,PRINCIPIOS DE ADMINISTRACION,6
316,5,INGLES 5,0
317,5,ELECTRONEUMATICA,8
318,5,MICROCONTROLADORES,7
319,5,ELECTRONICA DE POTENCIA I,8
320,5,ANALISIS NUMERICO,6
321,5,MAQUINAS ELECTRICAS II,12
322,5,INGENIERIA Y GESTION AMBIENTAL,3
323,5,LIDERAZGO Y EMPRENDIMIENTO,3
324,5,VALIDACION DE LA LENGUA EXTRANJERA,0
325,5,CONTROL LOGICO PROGRAMABLE,8
326,5,ELECTRONICA DE POTENCIA II,8
327,5,ADMINISTRACION DE PROYECTOS,6
328,5,SISTEMAS ELECTRICOS DE POTENCIA I,9
329,5,INSTALACIONES ELECTRICAS A,10
330,5,CONTROL DE CALIDAD,6
331,5,INGENIERIA DE CONTROL II,8
332,5,PROYECTO INTEGRADOR IEA,10
333,5,SISTEMAS ELECTRICOS DE POTENCIA II,8
334,5,SUBESTACIONES ELECTRICAS A,10
335,5,ADMINISTRACION DE PERSONAL,6
336,5,SEMINARIO,2
337,5,PRACTICAS PROFESIONALES I,15
338,5,SEMINARIO DE EGRESO,0
339,6,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
340,6,GEOMETRIA Y TRIGONOMETRIA,0
341,6,TECNOLOGIAS PARA EL MANEJO DE DATOS ESPACIALES,9
342,6,INTRODUCCION A LAS CIENCIAS GEOESPACIALES,10
343,6,GEOMETRIA DESCRIPTIVA,5
344,6,ALGEBRA A,8
345,6,METEOROLOGIA Y CLIMATOLOGIA,8
346,6,BASES DE DATOS ORIENTADAS A OBJETOS,8
347,6,PROGRAMACION ORIENTADA A OBJETOS,8
348,6,FISICA A,8
349,6,DIBUJO PARA INGENIEROS,5
350,6,ESTADISTICA,10
351,6,ALGEBRA B,8
352,6,INGLES 1,0
353,6,CALCULO A,8
354,6,FISICA Y ALTIMETRIA DE SATELITES,8
355,6,TOPOGRAFIA PLANIMETRICA Y ALTIMETRICA,12
356,6,FUNDAMENTOS DE SISTEMAS DE INFORMACION GEOGRAFICOS,8
357,6,FOTOGRAMETRIA DIGITAL,8
358,6,PROYECCIONES CARTOGRAFICAS,8
359,6,METODOLOGIA DE LA INVESTIGACION,4
360,6,INGLES 2,0
361,6,CALCULO B,8
362,6,LENGUAJE DE PROGRAMACION I,8
363,6,ASTRONOMIA PARA EL POSICIONAMIENTO,5
364,6,TOPOGRAFIA SUBTERRANEA,8
365,6,FUNDAMENTOS DE TELEDETECCION,8
366,6,QUIMICA A,8
367,6,ACTIVIDADES ARTISTICAS- DEPORTIVAS O DE DIVULGACION,2
368,6,INGLES 3,0
369,6,LENGUAJE DE PROGRAMACION II,8
370,6,GEODESIA,8
371,6,INTEGRACION DE DATOS ESPACIALES,8
372,6,APLICACIONES DE TELEDETECCION,8
373,6,CARTOGRAFIA DIGITAL,8
374,6,HIDROGRAFIA,8
375,6,ARTE- CULTURA Y HUMANIDADES I,2
376,6,INGLES 4,0
377,6,GESTION PARA LA CREACION DE UNA EMPRESA,8
378,6,LENGUAJE DE PROGRAMACION III,8
379,6,SISTEMAS DE POSICIONAMIENTO,8
380,6,BASES DE DATOS ESPACIALES,10
381,6,ANALISIS ESPACIAL DEL MEDIO AMBIENTE,5
382,6,SISTEMAS HIDROLOGICOS,8
383,6,LIDERAZGO Y EMPRENDIMIENTO,3
384,6,INGLES 5,0
385,6,VALUACION INMOBILIARIA SOBRE EL TERRITORIO,5
386,6,PLANEACION Y DISEÑO DE SISTEMAS,5
387,6,DESARROLLO DE PROYECTO DE INGENIERIA,5
388,6,APLICACIONES DE GEODESIA Y POSICIONAMIENTO,8
389,6,APLICACIONES DE SISTEMAS DE INFORMACION GEOGRAFICOS,8
390,6,URBANISMO Y ORDENAMIENTO TERRITORIAL,5
391,6,AGRICULTURA DE PRECISION,8
392,6,GESTION DE PROYECTOS,3
393,6,SISTEMAS CATASTRALES,5
394,6,DIFUSION DE DATOS ESPACIALES EN INTERNET,8
395,6,ESTRUCTURAS DE DATOS GEOMETRICOS,8
396,6,SEMINARIO DE TITULACION,2
397,6,MODELOS DIGITALES DE TERRENO,8
398,6,INTELIGENCIA ARTIFICIAL Y RECONOCIMIENTO DE PATRONES,8
399,6,LEGISLACION PARA EL USO DE DATOS GEOESPACIALES,8
400,6,MODELADO EN OBRAS HIDRAULICAS,8
401,6,ARTE- CULTURA Y HUMANIDADES II,2
402,6,GEOESTADISTICA,8
403,6,MODELIZACION GEOMETRICA 3D,8
404,6,MINERIA DE DATOS ESPACIALES,8
405,6,DELIMITACION TERRITORIAL,5
406,7,GEOMETRIA Y TRIGONOMETRIA,0
407,7,QUIMICA A,8
408,7,ALGEBRA A,8
409,7,SEMINARIO DE ORIENTACION ING. AMBIENTAL,0
410,7,COMPUTACION APLICADA A,6
411,7,CRISTALOGRAFIA,5
412,7,GEOLOGIA BASICA I,10
413,7,METODOLOGIA DE LA INVESTIGACION,4
414,7,TECNICAS DE COMUNICACION ORAL Y ESCRITA,5
415,7,INGLES 1,0
416,7,CALCULO A,8
417,7,ALGEBRA B,8
418,7,DIBUJO GEOLOGICO ESTRUCTURAL,5
419,7,COMPUTACION APLICADA B,6
420,7,MINERALOGIA,5
421,7,GEOLOGIA BASICA II,10
422,7,SEDIMENTOLOGIA,6
423,7,INGLES 2,0
424,7,CALCULO B,8
425,7,FISICA A,8
426,7,GEOMORFOLOGIA,6
427,7,MINEROLOGIA OPTICA,9
428,7,TOPOGRAFIA APLICADA Y PRACTICAS,8
429,7,ESTRATIGRAFIA,6
430,7,TENDENCIAS SOCIALES,2
431,7,INGLES 3,0
432,7,HIDROLOGIA,6
433,7,FISICA C,6
434,7,GEOLOGIA ESTRUCTURAL I,6
435,7,PETROLOGIA Y PETROGRAFIA IGNEA,11
436,7,PROBABILIDAD Y ESTADISTICA,8
437,7,PALEONTOLOGIA,6
438,7,GESTION Y DESARROLLO SOCIAL,2
439,7,INGLES 4,0
440,7,AGUA SUBTERRANEA,8
441,7,GEOQUIMICA,8
442,7,GEOLOGIA ESTRUCTURAL II,8
443,7,PETROLOGIA Y PETROGRAFIA SEDIMENTARIA,8
444,7,GEOLOGIA HISTORICA,8
445,7,ARTE- CULTURA Y HUMANIDADES I,2
446,7,INGLES 5,0
447,7,ADMINISTRACION Y COACHING EMPRESARIAL,8
448,7,EXCURSIONES GEOLOGICAS I,10
449,7,GEOMORFOLOGIA ESTRUCTURAL,6
450,7,PETROLOGIA Y PETROGRAFIA METAMORFICA,10
451,7,GEOTECTONICA,8
452,7,METODOS DE PERFORACION,8
453,7,ARTE- CULTURA Y HUMANIDADES II,2
454,7,FORMULACION Y GESTION DE PROYECTOS,7
455,7,CONTAMINACION DEL AGUA SUBTERRANEA,8
456,7,DESARROLLO DE PROYECTOS GEOLOGICOS I,10
457,7,GEOLOGIA DE MEXICO,8
458,7,YACIMIENTOS MINERALES,10
459,7,GEOFISICA APLICADA,5
460,7,LIDERAZGO Y EMPRENDIMIENTO,3
461,7,EXCURSIONES GEOLOGICAS II,10
462,7,DESARROLLO DE PROYECTOS GEOLOGICOS II,10
463,7,GEOLOGIA DEL PETROLEO,6
464,7,GEOLOGIA ECONOMICA,8
465,7,COMPUTACION APLICADA C,6
466,7,GEOTECNIA I,12
467,7,ACTIVIDADES ARTISTICAS- DEPORTIVAS O DE DIVULGACION,2
468,7,METODOS DE EXPLORACION,8
469,7,GEOLOGIA AMBIENTAL,8
470,7,PRACTICAS PROFESIONALES I,15
471,7,PRACTICAS PROFESIONALES II,15
472,7,GEOLOGIA APLICADA A LA INGENIERIA CIVIL,10
473,8,QUIMICA A,8
474,8,PENSAMIENTO ALGORITMICO,8
